ORI,PUB_AGENCY_NAME,AGENCY_TYPE_NAME,STATE_ABBR
NB0400100,Grand Island,City,NB
NB0410000,Hamilton,County,NB
NB0450100,O'Neill,City,NB
NB0470000,Howard,County,NB
NB0480000,Jefferson,County,NB
NB0480100,Fairbury,City,NB
NB0510000,Keith,County,NB
NB0510100,Ogallala,City,NB
NB0550000,Lancaster,County,NB
NB0550100,Lincoln,City,NB
NB0550500,University of Nebraska:,University or College,NB
NB0560000,Lincoln,County,NB
NB0560100,North Platte,City,NB
NB0590000,McPherson,County,NB
NB0600100,Norfolk,City,NB
NB0660100,Nebraska City,City,NB
NB0680000,Perkins,County,NB
NB0690100,Holdrege,City,NB
NB0710000,Platte,County,NB
NB0710100,Columbus,City,NB
NB0730000,Red Willow,County,NB
NB0730100,McCook,City,NB
NB0740100,Falls City,City,NB
NB0760000,Saline,County,NB
NB0760200,Crete,City,NB
NB0770000,Sarpy,County,NB
NB0770100,Bellevue,City,NB
NB0770200,Papillion,City,NB
NB0770400,La Vista,City,NB
NB0780100,Wahoo,City,NB
NB0790000,Scotts Bluff,County,NB
NB0790100,Scottsbluff,City,NB
NB0790300,Mitchell,City,NB
NB0800100,Seward,City,NB
NB0810100,Gordon,City,NB
NB0820000,Sherman,County,NB
NB0870000,Thurston,County,NB
NB0890000,Washington,County,NB
NB0890100,Blair,City,NB
NB0900100,Wayne,City,NB
NB0930100,York,City,NB
NBFBIOM00,Federal Bureau of Investigation,Federal,FS
NBNSP0000,Nebraska State Patrol,State Police,NB
NC0010000,Alamance,County,NC
NC0010100,Burlington,City,NC
NC0010200,Elon,City,NC
NC0010400,Mebane,City,NC
NC0020100,Taylorsville,City,NC
NC0040000,Anson,County,NC
NC0040100,Wadesboro,City,NC
NC0040200,Lilesville,City,NC
NC0050000,Ashe,County,NC
NC0060000,Avery,County,NC
NC0070000,Beaufort,County,NC
NC0070100,Washington,City,NC
NC0080000,Bertie,County,NC
NC0090000,Bladen,County,NC
NC0100000,Brunswick,County,NC
NC0100200,Shallotte,City,NC
NC0101300,Leland,City,NC
NC0110000,Buncombe,County,NC
NC0110100,Asheville,City,NC
NC0110200,Black Mountain,City,NC
NC0110300,Biltmore Forest,City,NC
NC0110400,Weaverville,City,NC
NC0110700,University of North Carolina:,University or College,NC
NC0120000,Burke,County,NC
NC0120100,Morganton,City,NC
NC0130000,Cabarrus,County,NC
NC0130100,Concord,City,NC
NC0130200,Kannapolis,City,NC
NC0140000,Caldwell,County,NC
NC0140100,Granite Falls,City,NC
NC0140200,Lenoir,City,NC
NC0160000,Carteret,County,NC
NC0160100,Beaufort,City,NC
NC0160200,Morehead City,City,NC
NC0160400,Newport,City,NC
NC0170000,Caswell,County,NC
NC0180000,Catawba,County,NC
NC0180200,Hickory,City,NC
NC0180300,Maiden,City,NC
NC0180400,Newton,City,NC
NC0180600,Claremont,City,NC
NC0180700,Long View,City,NC
NC0190000,Chatham,County,NC
NC0190100,Siler City,City,NC
NC0190200,Pittsboro,City,NC
NC0200000,Cherokee,County,NC
NC0200100,Andrews,City,NC
NC0200200,Murphy,City,NC
NC0210100,Edenton,City,NC
NC0220000,Clay,County,NC
NC0230000,Cleveland,County,NC
NC0240300,Fair Bluff,City,NC
NC0250000,Craven,County,NC
NC0250200,New Bern,City,NC
NC0260000,Cumberland,County,NC
NC0260100,Fayetteville,City,NC
NC0260200,Hope Mills,City,NC
NC0260300,Spring Lake,City,NC
NC0260400,Fayetteville State University,University or College,NC
NC026089E,Methodist University,University or College,NC
NC0270000,Currituck,County,NC
NC0280000,Dare,County,NC
NC0280100,Kill Devil Hills,City,NC
NC0280400,Southern Shores,City,NC
NC0290100,Lexington,City,NC
NC0290200,Thomasville,City,NC
NC0300000,Davie,County,NC
NC0300100,Mocksville,City,NC
NC0310000,Duplin,County,NC
NC0320000,Durham,County,NC
NC0320100,Durham,City,NC
NC0320200,North Carolina Central University,University or College,NC
NC032039E,Duke University,University or College,NC
NC0330000,Edgecombe,County,NC
NC0330100,Rocky Mount,City,NC
NC0340000,Forsyth,County,NC
NC0340100,Kernersville,City,NC
NC0340200,Winston-Salem,City,NC
NC0340300,Winston-Salem State University,University or College,NC
NC034049E,Wake Forest University,University or College,NC
NC0340600,North Carolina School of the Arts,University or College,NC
NC0350000,Franklin,County,NC
NC0350400,Bunn,City,NC
NC0360100,Belmont,City,NC
NC0360300,Cherryville,City,NC
NC0360400,Dallas,City,NC
NC0360500,Gaston County Police Department,County,NC
NC0360600,Gastonia,City,NC
NC0361100,Cramerton,City,NC
NC0390000,Granville,County,NC
NC0390100,Oxford,City,NC
NC0390200,Butner,City,NC
NC0390300,Creedmoor,City,NC
NC0400000,Greene,County,NC
NC0410000,Guilford,County,NC
NC0410200,Greensboro,City,NC
NC0410300,High Point,City,NC
NC0410400,North Carolina Agricultural and Technical State University,University or College,NC
NC0410500,University of North Carolina:,University or College,NC
NC0420100,Enfield,City,NC
NC0420200,Roanoke Rapids,City,NC
NC0420600,Littleton,City,NC
NC0430000,Harnett,County,NC
NC0430100,Dunn,City,NC
NC0430400,Lillington,City,NC
NC0430500,Erwin,City,NC
NC0440000,Haywood,County,NC
NC0440100,Canton,City,NC
NC0440200,Waynesville,City,NC
NC0450000,Henderson,County,NC
NC0450100,Hendersonville,City,NC
NC0450300,Fletcher,City,NC
NC0490000,Iredell,County,NC
NC0490100,Mooresville,City,NC
NC0490200,Statesville,City,NC
NC0490400,Troutman,City,NC
NC0500000,Jackson,County,NC
NC0500100,Sylva,City,NC
NC0500200,Western Carolina University,University or College,NC
NC0510000,Johnston,County,NC
NC0510100,Smithfield,City,NC
NC0510200,Benson,City,NC
NC0510300,Clayton,City,NC
NC0510500,Kenly,City,NC
NC0540000,Lenoir,County,NC
NC0540100,Kinston,City,NC
NC0550000,Lincoln,County,NC
NC0550100,Lincolnton,City,NC
NC0560000,McDowell,County,NC
NC0560100,Marion,City,NC
NC0570000,Macon,County,NC
NC0580000,Madison,County,NC
NC0580300,Mars Hill,City,NC
NC0590000,Martin,County,NC
NC0590100,Williamston,City,NC
NC0600100,Charlotte-Mecklenburg,City,NC
NC0600300,Pineville,City,NC
NC0600500,Davidson,City,NC
NC0600600,Huntersville,City,NC
NC0600700,Matthews,City,NC
NC0600800,University of North Carolina:,University or College,NC
NC0602900,Mint Hill,City,NC
NC0610100,Spruce Pine,City,NC
NC0630000,Moore,County,NC
NC0630100,Aberdeen,City,NC
NC0630200,Pinehurst,City,NC
NC0630400,Southern Pines,City,NC
NC0630500,Carthage,City,NC
NC0640000,Nash,County,NC
NC0640500,Middlesex,City,NC
NC0640600,Sharpsburg,City,NC
NC0640700,Whitakers,City,NC
NC0650000,New Hanover,County,NC
NC0650100,Carolina Beach,City,NC
NC0650200,Wilmington,City,NC
NC0650300,Wrightsville Beach,City,NC
NC0650500,University of North Carolina:,University or College,NC
NC0660000,Northampton,County,NC
NC0670000,Onslow,County,NC
NC0670100,Jacksonville,City,NC
NC0670300,Richlands,City,NC
NC0680000,Orange,County,NC
NC0680100,Chapel Hill,City,NC
NC0680200,Hillsborough,City,NC
NC0680300,Carrboro,City,NC
NC0680400,University of North Carolina:,University or College,NC
NC0680500,University of North Carolina Hospitals,Other,NC
NC0690000,Pamlico,County,NC
NC0700000,Pasquotank,County,NC
NC0700100,Elizabeth City,City,NC
NC0700200,Elizabeth City State University,University or College,NC
NC0710100,Burgaw,City,NC
NC0720100,Hertford,City,NC
NC0730000,Person,County,NC
NC0730100,Roxboro,City,NC
NC0740000,Pitt,County,NC
NC0740100,Ayden,City,NC
NC0740300,Greenville,City,NC
NC0740900,East Carolina University,University or College,NC
NC0760000,Randolph,County,NC
NC0760100,Asheboro,City,NC
NC0760600,Archdale,City,NC
NC0770000,Richmond,County,NC
NC0770200,Hamlet,City,NC
NC0770300,Rockingham,City,NC
NC0780000,Robeson,County,NC
NC0780300,Red Springs,City,NC
NC0780900,University of North Carolina:,University or College,NC
NC0790000,Rockingham,County,NC
NC0790100,Eden,City,NC
NC0790400,Mayodan,City,NC
NC0790500,Reidsville,City,NC
NC0790700,Stoneville,City,NC
NC0800000,Rowan,County,NC
NC0800500,Salisbury,City,NC
NC0800700,Spencer,City,NC
NC0800900,Cleveland,City,NC
NC0810000,Rutherford,County,NC
NC0810100,Forest City,City,NC
NC0820000,Sampson,County,NC
NC0840100,Albemarle,City,NC
NC0850300,King,City,NC
NC0860000,Surry,County,NC
NC0860100,Elkin,City,NC
NC0860200,Mount Airy,City,NC
NC0870000,Swain,County,NC
NC0870100,Bryson City,City,NC
NC0880000,Transylvania,County,NC
NC0880100,Brevard,City,NC
NC0900000,Union,County,NC
NC0900200,Monroe,City,NC
NC0900500,Stallings,City,NC
NC0910100,Henderson,City,NC
NC0920000,Wake,County,NC
NC0920100,Raleigh,City,NC
NC0920200,Apex,City,NC
NC0920300,Cary,City,NC
NC0920600,Knightdale,City,NC
NC0920700,Wake Forest,City,NC
NC0920800,Wendell,City,NC
NC0920900,Zebulon,City,NC
NC092109E,WakeMed Campus Police,Other,NC
NC0921200,State Capitol Police,Other State Agency,NC
NC0921500,Raleigh-Durham International Airport,Other,NC
NC0921600,North Carolina State University,University or College,NC
NC0930200,Warrenton,City,NC
NC0950000,Watauga,County,NC
NC0950100,Boone,City,NC
NC0950200,Blowing Rock,City,NC
NC0950300,Appalachian State University,University or College,NC
NC0960000,Wayne,County,NC
NC0960100,Goldsboro,City,NC
NC0960400,Mount Olive,City,NC
NC0970000,Wilkes,County,NC
NC0980100,Wilson,City,NC
NC0990000,Yadkin,County,NC
NCFBICE00,Federal Bureau of Investigation,Federal,NC
ND0010000,Adams,County,ND
ND0020000,Barnes,County,ND
ND0020100,Valley City,City,ND
ND0050000,Bottineau,County,ND
ND0060100,Bowman,City,ND
ND0070000,Burke,County,ND
ND0080000,Burleigh,County,ND
ND0080100,Bismarck,City,ND
ND0090000,Cass,County,ND
ND0090200,Fargo,City,ND
ND0090300,West Fargo,City,ND
ND0130000,Dunn,County,ND
ND0140000,Eddy,County,ND
ND0160100,Carrington,City,ND
ND0170000,Golden Valley,County,ND
ND0180000,Grand Forks,County,ND
ND0180100,Grand Forks,City,ND
ND0180200,Larimore,City,ND
ND0180400,Emerado,City,ND
ND0180800,University of North Dakota,University or College,ND
ND0190000,Grant,County,ND
ND0210000,Hettinger,County,ND
ND0230000,Lamoure,County,ND
ND0270000,McKenzie,County,ND
ND0270100,Watford City,City,ND
ND0280000,McLean,County,ND
ND0290100,Beulah,City,ND
ND0300000,Morton,County,ND
ND0300200,Mandan,City,ND
ND0310000,Mountrail,County,ND
ND0350000,Pierce,County,ND
ND0350100,Rugby,City,ND
ND0360000,Ramsey,County,ND
ND0360100,Devils Lake,City,ND
ND0370200,Lisbon,City,ND
ND0390000,Richland,County,ND
ND0390300,Wahpeton,City,ND
ND0400000,Rolette,County,ND
ND0400200,Rolla,City,ND
ND0410000,Sargent,County,ND
ND0440000,Slope,County,ND
ND0450000,Stark,County,ND
ND0450100,Dickinson,City,ND
ND0450200,Belfield,City,ND
ND0460000,Steele,County,ND
ND0470100,Jamestown,City,ND
ND0500000,Walsh,County,ND
ND0500100,Grafton,City,ND
ND0510000,Ward,County,ND
ND0510200,Minot,City,ND
ND0520000,Wells,County,ND
ND0520100,Harvey,City,ND
ND0530000,Williams,County,ND
ND0530100,Tioga,City,ND
ND0530200,Williston,City,ND
NH0010200,Alton,City,NH
NH0010400,Barnstead,City,NH
NH0010600,Belmont,City,NH
NH0011000,Gilford,City,NH
NH0011400,Laconia,City,NH
NH0011600,Meredith,City,NH
NH0012200,Tilton,City,NH
NH0020000,Carroll,County,NH
NH0021000,Conway,City,NH
NH0022400,Moultonborough,City,NH
NH0023600,Wolfeboro,City,NH
NH0030000,Cheshire,County,NH
NH0030600,Dublin,City,NH
NH0031400,Hinsdale,City,NH
NH0031600,Jaffrey,City,NH
NH0031800,Keene,City,NH
NH0032000,Marlborough,City,NH
NH0032800,Rindge,City,NH
NH0034000,Troy,City,NH
NH0034200,Walpole,City,NH
NH0034600,Winchester,City,NH
NH0041000,Carroll,City,NH
NH0041600,Colebrook,City,NH
NH0043800,Lancaster,City,NH
NH0044800,Northumberland,City,NH
NH0047000,Whitefield,City,NH
NH0050000,Grafton,County,NH
NH005010X,State Police:,State Police,NH
NH0050400,Ashland,City,NH
NH0051400,Bristol,City,NH
NH0051600,Campton,City,NH
NH0052600,Enfield,City,NH
NH0053400,Hanover,City,NH
NH0053600,Haverhill,City,NH
NH0054400,Lebanon,City,NH
NH0054600,Lincoln,City,NH
NH0055000,Littleton,City,NH
NH0056600,Plymouth,City,NH
NH0057200,Thornton,City,NH
NH0057600,Waterville Valley,City,NH
NH0060200,Amherst,City,NH
NH0060400,Antrim,City,NH
NH0060600,Bedford,City,NH
NH0061000,Brookline,City,NH
NH0061200,Deering,City,NH
NH0061600,Goffstown,City,NH
NH0062200,Hancock,City,NH
NH0062400,Hillsborough,City,NH
NH0062800,Hudson,City,NH
NH0063000,Litchfield,City,NH
NH0063400,Manchester,City,NH
NH0064000,Merrimack,City,NH
NH0064200,Milford,City,NH
NH0064600,Nashua,City,NH
NH0064800,New Boston,City,NH
NH0065000,New Ipswich,City,NH
NH0065200,Pelham,City,NH
NH0065400,Peterborough,City,NH
NH0066000,Weare,City,NH
NH0066200,Wilton,City,NH
NH0070000,Merrimack,County,NH
NH0070600,Boscawen,City,NH
NH0070800,Bow,City,NH
NH0071600,Concord,City,NH
NH0072000,Dunbarton,City,NH
NH0072200,Epsom,City,NH
NH0072600,Henniker,City,NH
NH0073000,Hooksett,City,NH
NH0073200,Hopkinton,City,NH
NH0073400,Loudon,City,NH
NH0073600,Newbury,City,NH
NH0073800,New London,City,NH
NH0074000,Northfield,City,NH
NH0074200,Pembroke,City,NH
NH0074400,Pittsfield,City,NH
NH0080000,Rockingham,County,NH
NH0080400,Auburn,City,NH
NH0080600,Brentwood,City,NH
NH0080800,Candia,City,NH
NH0081200,Danville,City,NH
NH0081600,Derry,City,NH
NH0082000,Epping,City,NH
NH0082200,Exeter,City,NH
NH0082400,Fremont,City,NH
NH0082600,Greenland,City,NH
NH0083000,Hampton,City,NH
NH0083200,Hampton Falls,City,NH
NH0083600,Kingston,City,NH
NH0083800,Londonderry,City,NH
NH0084600,Newmarket,City,NH
NH0084800,Newton,City,NH
NH0085200,Northwood,City,NH
NH0085600,Plaistow,City,NH
NH0085800,Portsmouth,City,NH
NH0086000,Raymond,City,NH
NH0086200,Rye,City,NH
NH0086600,Sandown,City,NH
NH0086800,Seabrook,City,NH
NH0087200,Stratham,City,NH
NH0087400,Windham,City,NH
NH0090200,Barrington,City,NH
NH0090400,Dover,City,NH
NH0090600,Durham,City,NH
NH0090800,Farmington,City,NH
NH0091000,Lee,City,NH
NH0091600,Milton,City,NH
NH0092000,Rochester,City,NH
NH0092400,Somersworth,City,NH
NH00927TZ,University of New Hampshire,University or College,NH
NH0100600,Claremont,City,NH
NH0101400,Langdon,City,NH
NH0101800,Newport,City,NH
NH310SP00,Sullivan State Police,State Police,NH
NHNSP0000,State Police,State Police,NH
NJ0010100,Absecon,City,NJ
NJ0010200,Atlantic City,City,NJ
NJ0010300,Brigantine,City,NJ
NJ0010400,Buena,City,NJ
NJ0010700,Egg Harbor City,City,NJ
NJ0010800,Egg Harbor Township,City,NJ
NJ0011100,Galloway Township,City,NJ
NJ0011200,"Hamilton Township, Atlantic County",City,NJ
NJ0011300,Hammonton,City,NJ
NJ0011400,Linwood,City,NJ
NJ0011600,Margate City,City,NJ
NJ0011700,Mullica Township,City,NJ
NJ0011800,Northfield,City,NJ
NJ0011900,Pleasantville,City,NJ
NJ0012100,Somers Point,City,NJ
NJ0012200,Ventnor City,City,NJ
NJ0012400,Stockton University,University or College,NJ
NJ001SP00,State Police:,State Police,NJ
NJ0020000,Bergen,County,NJ
NJ0020100,Allendale,City,NJ
NJ0020200,Alpine,City,NJ
NJ0020300,Bergenfield,City,NJ
NJ0020400,Bogota,City,NJ
NJ0020500,Carlstadt,City,NJ
NJ0020600,Cliffside Park,City,NJ
NJ0020700,Closter,City,NJ
NJ0020800,Cresskill,City,NJ
NJ0020900,Demarest,City,NJ
NJ0021000,Dumont,City,NJ
NJ0021100,Elmwood Park,City,NJ
NJ0021200,East Rutherford,City,NJ
NJ0021300,Edgewater,City,NJ
NJ0021400,Emerson,City,NJ
NJ0021500,Englewood,City,NJ
NJ0021600,Englewood Cliffs,City,NJ
NJ0021700,Fair Lawn,City,NJ
NJ0021800,Fairview,City,NJ
NJ0021900,Fort Lee,City,NJ
NJ0022000,Franklin Lakes,City,NJ
NJ0022100,Garfield,City,NJ
NJ0022200,Glen Rock,City,NJ
NJ0022300,Hackensack,City,NJ
NJ0022400,Harrington Park,City,NJ
NJ0022500,Hasbrouck Heights,City,NJ
NJ0022600,Haworth,City,NJ
NJ0022700,Hillsdale,City,NJ
NJ0022800,Ho-Ho-Kus,City,NJ
NJ0022900,Leonia,City,NJ
NJ0023000,Little Ferry,City,NJ
NJ0023100,Lodi,City,NJ
NJ0023200,Lyndhurst Township,City,NJ
NJ0023300,Mahwah Township,City,NJ
NJ0023400,Maywood,City,NJ
NJ0023500,Midland Park,City,NJ
NJ0023600,Montvale,City,NJ
NJ0023700,Moonachie,City,NJ
NJ0023800,New Milford,City,NJ
NJ0023900,North Arlington,City,NJ
NJ0024000,Northvale,City,NJ
NJ0024100,Norwood,City,NJ
NJ0024200,Oakland,City,NJ
NJ0024300,Old Tappan,City,NJ
NJ0024400,Oradell,City,NJ
NJ0024500,Palisades Park,City,NJ
NJ0024600,Paramus,City,NJ
NJ0024700,Park Ridge,City,NJ
NJ0024800,Ramsey,City,NJ
NJ0024900,Ridgefield,City,NJ
NJ0025000,Ridgefield Park,City,NJ
NJ0025100,Ridgewood,City,NJ
NJ0025200,River Edge,City,NJ
NJ0025300,River Vale Township,City,NJ
NJ0025400,Rochelle Park Township,City,NJ
NJ0025500,Rockleigh,City,NJ
NJ0025600,Rutherford,City,NJ
NJ0025700,Saddle Brook Township,City,NJ
NJ0025800,Saddle River,City,NJ
NJ0025900,South Hackensack Township,City,NJ
NJ0026000,Teaneck Township,City,NJ
NJ0026100,Tenafly,City,NJ
NJ0026200,Teterboro,City,NJ
NJ0026300,Upper Saddle River,City,NJ
NJ0026400,Waldwick,City,NJ
NJ0026500,Wallington,City,NJ
NJ0026600,"Washington Township, Bergen County",City,NJ
NJ0026700,Westwood,City,NJ
NJ0026800,Woodcliff Lake,City,NJ
NJ0026900,Wood-Ridge,City,NJ
NJ0027000,Wyckoff Township,City,NJ
NJ0027100,Bergen County Police Department,County,NJ
NJ0030200,Beverly,City,NJ
NJ0030300,Bordentown City,City,NJ
NJ0030400,Bordentown Township,City,NJ
NJ0030500,Burlington City,City,NJ
NJ0030600,Burlington Township,City,NJ
NJ0030700,Chesterfield Township,City,NJ
NJ0030800,Cinnaminson Township,City,NJ
NJ0030900,Delanco Township,City,NJ
NJ0031000,Delran Township,City,NJ
NJ0031100,Eastampton Township,City,NJ
NJ0031200,Edgewater Park Township,City,NJ
NJ0031300,Evesham Township,City,NJ
NJ0031500,Florence Township,City,NJ
NJ0031700,Willingboro Township,City,NJ
NJ0031800,Lumberton Township,City,NJ
NJ0031900,"Mansfield Township, Burlington County",City,NJ
NJ0032000,Maple Shade Township,City,NJ
NJ0032100,Medford Township,City,NJ
NJ0032200,Medford Lakes,City,NJ
NJ0032300,Moorestown Township,City,NJ
NJ0032400,Mount Holly Township,City,NJ
NJ0032500,Mount Laurel Township,City,NJ
NJ0032700,North Hanover Township,City,NJ
NJ0032800,Palmyra,City,NJ
NJ0032900,Pemberton Borough,City,NJ
NJ0033000,Pemberton Township,City,NJ
NJ0033100,Riverside Township,City,NJ
NJ0033200,Riverton,City,NJ
NJ0033500,"Springfield Township, Burlington County",City,NJ
NJ0033800,Westampton Township,City,NJ
NJ0033900,"Human Services, Woodland Township",City,NJ
NJ003SP00,State Police:,State Police,NJ
NJ0040100,Audubon,City,NJ
NJ0040200,Audubon Park,City,NJ
NJ0040300,Barrington,City,NJ
NJ0040400,Bellmawr,City,NJ
NJ0040500,Berlin,City,NJ
NJ0040600,Berlin Township,City,NJ
NJ0040700,Brooklawn,City,NJ
NJ0040800,Camden County Police Department,City,NJ
NJ0040900,Chesilhurst,City,NJ
NJ0041000,Clementon,City,NJ
NJ0041100,Collingswood,City,NJ
NJ0041200,Cherry Hill Township,City,NJ
NJ0041300,Gibbsboro,City,NJ
NJ0041400,Gloucester City,City,NJ
NJ0041500,Gloucester Township,City,NJ
NJ0041600,Haddon Township,City,NJ
NJ0041700,Haddonfield,City,NJ
NJ0041800,Haddon Heights,City,NJ
NJ0041900,Hi-Nella,City,NJ
NJ0042000,Laurel Springs,City,NJ
NJ0042100,Lawnside,City,NJ
NJ0042200,Lindenwold,City,NJ
NJ0042300,Magnolia,City,NJ
NJ0042400,Merchantville,City,NJ
NJ0042500,Mount Ephraim,City,NJ
NJ0042600,Oaklyn,City,NJ
NJ0042700,Pennsauken Township,City,NJ
NJ0042800,Pine Hill,City,NJ
NJ0043000,Runnemede,City,NJ
NJ0043100,Somerdale,City,NJ
NJ0043200,Stratford,City,NJ
NJ0043400,Voorhees Township,City,NJ
NJ0043500,Waterford Township,City,NJ
NJ0043600,Winslow Township,City,NJ
NJ0043700,Woodlynne,City,NJ
NJ0043900,Rutgers University:,University or College,NJ
NJ0049100,Park Police:,Other,NJ
NJ0050000,Cape May,County,NJ
NJ0050100,Avalon,City,NJ
NJ0050200,Cape May,City,NJ
NJ0050300,Cape May Point,City,NJ
NJ0050500,Lower Township,City,NJ
NJ0050600,Middle Township,City,NJ
NJ0050700,North Wildwood,City,NJ
NJ0050800,Ocean City,City,NJ
NJ0050900,Sea Isle City,City,NJ
NJ0051000,Stone Harbor,City,NJ
NJ0051400,Wildwood,City,NJ
NJ0051500,Wildwood Crest,City,NJ
NJ0051600,Woodbine,City,NJ
NJ0058900,Prosecutor:,Other,NJ
NJ005SP00,State Police:,State Police,NJ
NJ0060100,Bridgeton,City,NJ
NJ0061000,Millville,City,NJ
NJ0061400,Vineland,City,NJ
NJ006SP00,State Police:,State Police,NJ
NJ0070000,Essex,County,NJ
NJ0070100,Belleville,City,NJ
NJ0070200,Bloomfield,City,NJ
NJ0070300,Caldwell,City,NJ
NJ0070400,"Fairfield Township, Essex County",City,NJ
NJ0070500,Cedar Grove Township,City,NJ
NJ0070600,East Orange,City,NJ
NJ0070700,Essex Fells,City,NJ
NJ0070800,Glen Ridge,City,NJ
NJ0070900,Irvington,City,NJ
NJ0071000,Livingston Township,City,NJ
NJ0071100,Maplewood Township,City,NJ
NJ0071200,Millburn Township,City,NJ
NJ0071300,Montclair,City,NJ
NJ0071500,North Caldwell,City,NJ
NJ0071600,Nutley Township,City,NJ
NJ0071700,Orange City,City,NJ
NJ0071800,Roseland,City,NJ
NJ0071900,South Orange Village,City,NJ
NJ0072000,Verona,City,NJ
NJ0072100,West Caldwell Township,City,NJ
NJ0072200,West Orange,City,NJ
NJ0072300,Essex County Police Department,County,NJ
NJ0072800,Montclair State University,University or College,NJ
NJ0073000,Rutgers University:,University or College,NJ
NJ0073200,New Jersey Transit Police,Other State Agency,NJ
NJ007SP00,State Police:,State Police,NJ
NJ0080100,Clayton,City,NJ
NJ0080200,Deptford Township,City,NJ
NJ0080300,East Greenwich Township,City,NJ
NJ0080400,Elk Township,City,NJ
NJ0080500,"Franklin Township, Gloucester County",City,NJ
NJ0080600,Glassboro,City,NJ
NJ0080700,"Greenwich Township, Gloucester County",City,NJ
NJ0080800,Harrison Township,City,NJ
NJ0080900,Logan Township,City,NJ
NJ0081000,Mantua Township,City,NJ
NJ0081100,"Monroe Township, Gloucester County",City,NJ
NJ0081200,National Park,City,NJ
NJ0081400,Paulsboro,City,NJ
NJ0081500,Pitman,City,NJ
NJ0081600,South Harrison Township,City,NJ
NJ0081700,Swedesboro,City,NJ
NJ0081800,"Washington Township, Gloucester County",City,NJ
NJ0082000,West Deptford Township,City,NJ
NJ0082100,Westville,City,NJ
NJ0082200,Woodbury,City,NJ
NJ0082300,Woodbury Heights,City,NJ
NJ0082400,Woolwich Township,City,NJ
NJ0082600,Rowan University,University or College,NJ
NJ008SP00,State Police:,State Police,NJ
NJ0090000,Hudson,County,NJ
NJ0090100,Bayonne,City,NJ
NJ0090200,East Newark,City,NJ
NJ0090300,Guttenberg,City,NJ
NJ0090400,Harrison,City,NJ
NJ0090500,Hoboken,City,NJ
NJ0090600,Jersey City,City,NJ
NJ0090700,Kearny,City,NJ
NJ0090800,North Bergen Township,City,NJ
NJ0090900,Secaucus,City,NJ
NJ0091000,Union City,City,NJ
NJ0091100,Weehawken Township,City,NJ
NJ0091200,West New York,City,NJ
NJ0100500,Clinton,City,NJ
NJ0100600,Clinton Township,City,NJ
NJ0100700,Delaware Township,City,NJ
NJ0100900,Flemington,City,NJ
NJ0101000,"Franklin Township, Hunterdon County",City,NJ
NJ0101100,Frenchtown,City,NJ
NJ0101400,High Bridge,City,NJ
NJ0101500,Holland Township,City,NJ
NJ0101700,Lambertville,City,NJ
NJ0101900,Lebanon Township,City,NJ
NJ0102100,Raritan Township,City,NJ
NJ0102200,Readington Township,City,NJ
NJ0102400,Tewksbury Township,City,NJ
NJ010SP00,State Police:,State Police,NJ
NJ0110000,Mercer,County,NJ
NJ0110100,East Windsor Township,City,NJ
NJ0110200,Ewing Township,City,NJ
NJ0110300,"Hamilton Township, Mercer County",City,NJ
NJ0110400,Hightstown,City,NJ
NJ0110500,Hopewell Borough,City,NJ
NJ0110600,Hopewell Township,City,NJ
NJ0110700,"Lawrence Township, Mercer County",City,NJ
NJ0110800,Pennington,City,NJ
NJ0110900,Princeton,City,NJ
NJ0111000,Princeton ,City,NJ
NJ0111100,Trenton,City,NJ
NJ0111200,Robbinsville Township,City,NJ
NJ0111300,West Windsor Township,City,NJ
NJ0111800,The College of New Jersey,University or College,NJ
NJ0115000,Princeton University,University or College,NJ
NJ011SP00,State Police:,State Police,NJ
NJ0120100,Carteret,City,NJ
NJ0120200,Cranbury Township,City,NJ
NJ0120300,Dunellen,City,NJ
NJ0120400,East Brunswick Township,City,NJ
NJ0120500,Edison Township,City,NJ
NJ0120600,Helmetta,City,NJ
NJ0120700,Highland Park,City,NJ
NJ0120800,Jamesburg,City,NJ
NJ0120900,Old Bridge Township,City,NJ
NJ0121000,Metuchen,City,NJ
NJ0121100,Middlesex Borough,City,NJ
NJ0121200,Milltown,City,NJ
NJ0121300,"Monroe Township, Middlesex County",City,NJ
NJ0121400,New Brunswick,City,NJ
NJ0121500,North Brunswick Township,City,NJ
NJ0121600,Perth Amboy,City,NJ
NJ0121700,Piscataway Township,City,NJ
NJ0121800,Plainsboro Township,City,NJ
NJ0121900,Sayreville,City,NJ
NJ0122000,South Amboy,City,NJ
NJ0122100,South Brunswick Township,City,NJ
NJ0122200,South Plainfield,City,NJ
NJ0122300,South River,City,NJ
NJ0122400,Spotswood,City,NJ
NJ0122500,Woodbridge Township,City,NJ
NJ0122600,Middlesex County College,University or College,NJ
NJ0123000,Rutgers University:,University or College,NJ
NJ012SP00,State Police:,State Police,NJ
NJ0130100,Allenhurst,City,NJ
NJ0130200,Allentown,City,NJ
NJ0130300,Asbury Park,City,NJ
NJ0130400,Colts Neck Township,City,NJ
NJ0130500,Atlantic Highlands,City,NJ
NJ0130600,Avon-by-the-Sea,City,NJ
NJ0130700,Belmar,City,NJ
NJ0130800,Bradley Beach,City,NJ
NJ0130900,Brielle,City,NJ
NJ0131000,Deal,City,NJ
NJ0131100,Eatontown,City,NJ
NJ0131200,Englishtown,City,NJ
NJ0131300,Fair Haven,City,NJ
NJ0131400,Farmingdale,City,NJ
